*DEBUG* 	2012/04/15 - 14:24:56: Constructed
*DEBUG* 	2012/04/15 - 14:24:56: Started install
*DEBUG* 	2012/04/15 - 14:24:56: Copy to backup finished
*DEBUG* 	2012/04/15 - 14:24:56: Start set configs
*DEBUG* 	2012/04/15 - 14:24:58: Finished set configs
*DEBUG* 	2012/04/15 - 14:24:58: Start set CMS
*DEBUG* 	2012/04/15 - 14:25:03: Finished set CMS
*DEBUG* 	2012/04/15 - 14:25:03: Start db alter
*DEBUG* 	2012/04/15 - 14:25:03:  - Processing table product
*DEBUG* 	2012/04/15 - 14:25:03:  -- Processing field reduction_reason
*DEBUG* 	2012/04/15 - 14:25:03:  - Table processed
*DEBUG* 	2012/04/15 - 14:25:03:  -- Processing field unit_net
*DEBUG* 	2012/04/15 - 14:25:05:  - Table processed
*DEBUG* 	2012/04/15 - 14:25:05:  - Processing table product_lang
*DEBUG* 	2012/04/15 - 14:25:05:  -- Processing field reduction_reason
*DEBUG* 	2012/04/15 - 14:25:09:  - Table processed
*DEBUG* 	2012/04/15 - 14:25:09:  - Processing table product_attribute
*DEBUG* 	2012/04/15 - 14:25:09:  -- Processing field unit_net_impact
*DEBUG* 	2012/04/15 - 14:25:12:  - Table processed
*DEBUG* 	2012/04/15 - 14:25:12:  - Processing table attribute_impact
*DEBUG* 	2012/04/15 - 14:25:12:  -- Processing field net
*DEBUG* 	2012/04/15 - 14:25:13:  - Table processed
*DEBUG* 	2012/04/15 - 14:25:13:  - Processing table cart
*DEBUG* 	2012/04/15 - 14:25:13:  -- Processing field id_payment
*DEBUG* 	2012/04/15 - 14:25:15:  - Table processed
*DEBUG* 	2012/04/15 - 14:25:15:  - Processing table orders
*DEBUG* 	2012/04/15 - 14:25:15:  -- Processing field total_payment
*DEBUG* 	2012/04/15 - 14:25:17:  - Table processed
*DEBUG* 	2012/04/15 - 14:25:17:  -- Processing field payment_message
*DEBUG* 	2012/04/15 - 14:25:19:  - Table processed
*DEBUG* 	2012/04/15 - 14:25:19:  - Processing table customer
